Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet
R42          47k                                R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R43          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R44          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R45          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R46          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R47          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R48          13k/1%                             R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R49          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R50          100R                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R51          0.03R/1%                           R-EU_R1206_5MIL_WS                R1206_5MIL_WS             rcl               1
R52          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R53          100k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R54          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R55          200k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R56          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R57          191R/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R58          4.99k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R59          200k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R60          2k                                 R-EU_R0402_TI                     R0402_TI                  rcl               1
R61          2k                                 R-EU_R0402_TI                     R0402_TI                  rcl               1
R62          2k                                 R-EU_R0402_TI                     R0402_TI                  rcl               1
R63          2k                                 R-EU_R0402_TI                     R0402_TI                  rcl               1
R64          2k                                 R-EU_R0402_TI                     R0402_TI                  rcl               1
R65          2.2k                               R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R66          0R(Board_Mounted)                  R_0R0R(NA)                        0603_0R                   OLIMEX_DISCRET    1
R67          8.25k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R68          4.99k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R69          1.1k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R70          3.32k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R71          4.99k/1%                           R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R72          1.1k/1%                            R-EU_R0603_5MIL_DWS               R0603_5MIL_DWS            rcl               1
R73          10M                                R-EU_R0402_TI                     R0402_TI                  rcl               1
R74          10k                                R-EU_R0402_TI                     R0402_TI                  rcl               1
